c,time,vx,vy,V_net,dx,dy,dnet,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,percent_contact,delta_area,aruco_vel_y,ee_vel_z,v_norm,updated_vx,updated_vy,updated_vnet,ground_truth
101,0.10004997253418,2.65743996127495,0.074924957144347,2.65849598400751,20.9125322374455,18.3415703433891,30.0568766775838,179.658365528035,32.0626383122102,0.116785806429122,0.431121697959626,0.00347503743039,-0.006938032958334,0.228898617196521,-20.0801527926557,0.116002604166667,0.265362183458838,0,0.019178562482312,0,2.65743996127495,0.074924957144347,2.65849598400751,0.019178562482312
102,0.119018316268921,2.82666038471491,4.9099464400246,5.66547288180138,22.3174821792298,29.3334973608017,39.8536323039708,238.216316249072,58.5579507210377,0.1478367320961,0.260891992429289,0.00258775240571,-0.00745502921311,0.398923821044709,1.42856334367911,0.132213541666667,0.136205401052486,0,0.019178562482312,0,2.7420501729949303,2.4924356985844733,5.66547288180138,0.019178562482312
103,0.082732677459717,2.61246929296979,0.552732670604961,2.67030133353226,24.7842500217849,30.657197422803,42.1160208578724,251.739245931464,13.5229296823921,0.13499721828216,-0.155192775190817,0.017667057583573,0.182265407585838,0.415181282112886,0.196505922053515,0.12828125,-0.047530090738104,0,0.012785708321542,0,2.6988565463198837,1.8458680225913024,4.16788710766682,0.012785708321542
104,0.116105318069458,4.20786563936597,4.49884101618247,6.16000841946198,32.4758055207544,41.7466813028581,56.2937158921056,336.483297821091,84.7440518896267,0.167194370481361,0.27730988325565,0.019258090327602,0.01370335804151,0.563616103736206,1.2784498082553,0.143645833333333,0.132333157419557,0,0.037233805547694,0,3.076108819581405,2.509111270989094,5.1639477635644,0.037233805547694
105,0.085728406906128,2.60290800970316,9.07733677099747,9.44315482034895,35.1140213313064,64.5976339217043,76.6460293001362,458.13477215169,121.651474330599,0.187766281038065,0.23996608941106,0.042214067923716,0.267775623326944,0.359152399949569,-2.38501695255486,0.151575520833333,0.0924977820792,0,0.024822537031796,0,2.981468657605756,3.822756370990769,7.303551291956674,0.024822537031796
106,0.115151405334473,1.72537081073037,3.24071653251278,3.67139593051772,36.3785090589835,72.6823989658513,84.6503410433597,505.978784035895,47.8440118842044,0.20005084655594,0.106681854921297,0.044928172197624,0.023569875382974,0.826936942651492,4.06234332393234,0.155169270833333,0.031208911342085,0,0.016548358021198,0,2.772119016459859,4.455914686064456,5.487473611237197,0.016548358021198
107,0.089099168777466,12.3499281955525,4.40734873898583,13.1127971593533,35.1731198816022,83.7889177880956,95.0811209647802,568.326475446648,62.3476914107532,0.189395955704496,-0.119584626856128,0.03100690973967,-0.156244582850418,0.80865774455245,-0.205155652402284,0.155677083333333,0.005699407828016,0,0.459968905347465,0,4.140377470615951,4.355395145856702,9.300135385295247,0.459968905347465
108,0.111558675765991,1.50923674664882,4.16348551577894,4.42858975267931,38.8700509620429,94.2809012878585,106.763583364514,638.155823405622,69.829347958974,0.197194214074915,0.069902751326819,0.041669378273819,0.095577223922189,0.7210277935604,-0.785505478532796,0.183346354166667,0.248024375005788,0,1.95002593689831,0,3.9763484399550735,5.077545714891499,6.864362568987279,1.95002593689831
109,0.092427968978882,12.3442351558023,4.76707967367535,13.2327317737841,43.5277599749697,106.29394206552,118.549544867118,708.603814474275,70.4479910686534,0.227383769256146,0.326627919175938,0.049299844474525,0.082555813840819,1.26430057544938,5.8777963844809,0.200026041666667,0.180461473775443,0,5.95228729126554,0,5.3360019786818444,5.131193446390074,10.048547171385689,5.95228729126554
110,0.105981588363647,4.87557344753661,65.1789867870028,65.3610857852178,58.3083088151404,270.544988768767,280.622361840527,1677.35840951451,968.754595040234,0.217961786331475,-0.088902073182199,0.125085605774223,0.715084218587671,2.11018036496052,7.98138433827514,0.351979166666667,1.43376908523595,0,11.1707015275104,0,5.659302572191391,16.351523449591138,37.704816478301744,11.1707015275104
111,0.097878932952881,6.48684130472411,12.8398550083372,14.3854435714647,45.8554784464997,238.188554147758,246.021028551001,1470.5365547167,-206.821854797812,0.281908695224806,0.653326583812629,0.022142675459299,-1.05173735766492,0.949579926494991,-11.8575101245152,0.340807291666667,-0.11413973020505,0,19.6390676850069,0,5.98487052438541,18.27135114475602,26.04513002488322,19.6390676850069
112,0.209378004074097,0.855402488666003,3.11361651333147,3.22898145081486,44.6684507756573,246.034867761353,253.333770840327,1514.24686238842,43.7103076717192,0.313601362451867,0.151365791106909,0.030311669640763,0.039015531825269,2.88169969283412,9.22790230465362,0.395559895833333,0.261501223152793,0,19.6390676850069,0,5.735226878522959,18.01260469962515,14.63705573784904,19.6390676850069
113,0.082863330841065,3.87860446908477,2.04054405231382,4.38262394656873,45.010284592319,251.177038773184,258.396823658935,1544.5101463527,30.2632839642852,0.225544456587075,-1.06267639703851,0.036972734316098,0.080386156430414,1.90784199925601,-11.7525772098881,0.366940104166667,-0.345385484461887,0,37.8322451233379,0,6.0428316868593015,17.588016406932127,9.509839842208883,37.8322451233379
114,0.082057952880859,0.843831854140948,3.23233265961874,3.34066260201489,46.8328727992069,259.322517075423,266.695095004268,1594.11123706491,49.6010907122111,0.287674460785566,0.757147869490462,0.028055939167601,-0.108664606359885,2.33887498658833,5.25278747762746,0.396171875,0.356233245006431,0,55.606526748892,0,4.399103638086222,17.281067004120803,6.425251222111887,55.606526748892
