c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
497,0.076604128,0.453985751,0.564058897,0.724061808,179.4270892,4.247871735,0.16554771,-0.071988306,0.054728749,0.060426933,0.443915241,2.267064172,0.119348958,-0.035354927
498,0.08027339,0.088952599,0.125318806,0.153679432,178.2099536,-1.217135591,0.164910244,-0.007941185,0.039124448,-0.19438946,0.289655854,-1.921675258,0.124010417,0.058069783
499,0.078418732,0.062508437,0.119804423,0.135131064,173.102414,-5.107539647,0.164255585,-0.008348245,0.056180027,0.217493691,0,-3.693707457,0.124179688,0.002158551
500,0.079413891,0.02275978,0.421391476,0.422005668,173.8270544,0.724640442,0.167932397,0.046299351,0.050830699,-0.067360107,0.271921426,3.424104054,0.116484375,-0.096901341
501,0.0782547,0.184695048,0.426367057,0.46465162,180.8072553,6.980200858,0.175321503,0.094423807,0.046571062,-0.054432985,0.291048059,0.244415145,0.118450521,0.025124955
502,0.081347466,0.011417418,0.02104115,0.023939245,177.9114012,-2.895854042,0.16847591,-0.084152502,0.046735403,0.002020237,0.24788922,-0.530549281,0.124114583,0.069628014
503,0.083717346,0.093916826,0.324836361,0.33814055,170.8350896,-7.076311615,0.163437916,-0.060178627,0.058436822,0.139772929,0,-2.961025776,0.120807292,-0.039505453
504,0.08185029,0.035272694,0.260886285,0.263259979,177.7296863,6.89459671,0.171156048,0.094295727,0.052065774,-0.077837817,0.183409136,2.240787855,0.119804688,-0.012249244
505,0.080219269,0.033751098,0.049886823,0.060231485,174.7972793,-2.932407047,0.163386337,-0.096855926,0.044470292,-0.094684004,0.321438528,1.720651335,0.115846354,-0.049343922
506,0.080940008,0.226842216,0.174852021,0.286409881,182.9215718,8.12429257,0.175151401,0.145355364,0.045068853,0.00739511,0.324596068,0.03901087,0.1178125,0.024291397
507,0.127489567,0.60605456,0.043363116,0.607603892,177.5635187,-5.35805318,0.163861195,-0.088557881,0.047771574,0.02119955,0,-2.546059859,0.125052083,0.056785692
508,0.093510151,0.179638564,0.176161255,0.251600479,177.6305323,0.067013589,0.169210179,0.057202175,0.050649949,0.030781413,0.224150918,2.397075784,0.124440104,-0.006544521
509,0.081578732,0.012198513,0.00402547,0.012845549,178.2784967,0.647964442,0.173573581,0.053487006,0.05190418,0.015374491,0.276079149,0.636541289,0.1221875,-0.02761264
510,0.08188653,0.059011047,0.223840954,0.231488825,175.4484382,-2.83005848,0.165436499,-0.099370222,0.042733844,-0.11198833,0,-3.371484291,0.125091146,0.035459383
511,0.081032276,0.177101632,0.024615143,0.178804064,172.5218471,-2.926591083,0.170702861,0.064990917,0.046385531,0.04506459,0.269556108,3.326527659,0.118190104,-0.08516411
512,0.078975201,0.157979999,0.309294181,0.347304722,179.5288112,7.006964057,0.17087775,0.002214485,0.05027484,0.049247218,0.205459865,-0.81159962,0.120664063,0.031325762
513,0.079254627,0.052156949,0.103198382,0.115629812,175.3650855,-4.163725687,0.164156936,-0.084800268,0.052961149,0.033894666,0.249643105,0.557484669,0.125325521,0.058816229
514,0.079494476,0.389734101,0.038324255,0.391613863,179.0668607,3.701775203,0.175267583,0.139766275,0.044398487,-0.107713914,0,-3.140383034,0.118320313,-0.088121951
515,0.080131531,0.515080049,0.003708768,0.515093401,178.7952866,-0.271574109,0.175086349,-0.002261713,0.047574118,0.039630229,0.237139808,2.959381978,0.122174479,0.048098004
516,0.077973604,0.102973458,0.031394893,0.107653018,180.7449052,1.949618592,0.171256364,-0.049118995,0.04694308,-0.008092972,0,-3.041283143,0.125221354,0.039075724
517,0.078384638,0.243231203,0.04130308,0.246713118,173.1435277,-7.601377505,0.162802395,-0.107852362,0.050077395,0.039986344,0.169642805,2.164235368,0.124296875,-0.011794137
518,0.083454132,0.028941788,0.186658252,0.188888671,176.6522537,3.508726049,0.169050297,0.074866296,0.046983706,-0.037070539,0.184688212,0.180283544,0.123007813,-0.015446359
519,0.079681873,0.076545021,0.03535341,0.084314909,177.1201263,0.467872521,0.170507018,0.018281714,0.047976297,0.012456934,0.277490885,1.164664802,0.121536458,-0.018465356
520,0.080710649,0.2869107,0.128420011,0.314339703,174.4798905,-2.640235795,0.1674794,-0.037512009,0.04861028,0.007855008,0.353401087,0.940522745,0.117929688,-0.04468767
521,0.081203699,0.375372349,0.402462809,0.550345994,181.6631032,7.183212786,0.175050052,0.093230391,0.046204975,-0.02962064,0.622652241,3.315749854,0.124140625,0.076485894
522,0.077962637,0.325906888,0.160847231,0.363437934,178.7196806,-2.943422668,0.182037996,0.08963196,0.047260006,0.013532526,0,-7.986546697,0.116158854,-0.102379436
523,0.080701113,0.040879252,0.214463205,0.218324483,178.8406873,0.12100671,0.164916567,-0.212158524,0.049633055,0.029405401,0.265967328,3.295708309,0.122942708,0.08406147
524,0.079166412,0.247886764,0.248593083,0.351064622,177.2385955,-1.602091782,0.168019951,0.039200769,0.051875006,0.028319476,0.323678568,0.728986431,0.123203125,0.003289484
525,0.079738617,0.280686402,0.11796097,0.304466166,179.1003993,1.861803763,0.166657135,-0.017091045,0.048251561,-0.045441532,0.32120119,-0.031068736,0.123828125,0.007838109
526,0.080591202,0.321089976,0.368563781,0.488812882,172.2276071,-6.872792172,0.165502747,-0.014323998,0.050376609,0.026368231,0,-3.985561489,0.123828125,0
527,0.08298111,0.046472486,0.215521878,0.220475331,177.9714736,5.743866536,0.168341244,0.034206541,0.048228691,-0.025884413,0,0,0.118828125,-0.060254678
528,0.083322763,0.419232851,0.07445928,0.425793809,175.6667303,-2.304743321,0.165615267,-0.032715873,0.055047056,0.081830754,0.240256503,2.883443771,0.116861979,-0.023596743
529,0.081426382,0.164392411,0.151770434,0.223738976,178.7184504,3.051720116,0.16590763,0.003590517,0.041697939,-0.163940937,0.213253362,-0.331626446,0.121744792,0.059965976
530,0.079218864,0.139693776,0.025941996,0.142082153,176.2274245,-2.491025918,0.171202636,0.066840217,0.05067243,0.113287302,0.207446586,-0.073300409,0.123815104,0.026134085
531,0.078424454,0.028250638,0.11072985,0.114276849,177.0065261,0.779101554,0.167953271,-0.041433056,0.0499604,-0.009079185,0,-2.64517732,0.12296875,-0.010791968
532,0.080501795,0.449962585,0.250737596,0.515107435,176.2763244,-0.730201677,0.166545668,-0.017485357,0.055641428,0.070570202,0.294451212,3.657697476,0.122109375,-0.010675228
533,0.080536127,0.348959082,0.075076736,0.356943913,173.8270038,-2.449320554,0.165413939,-0.014052436,0.042650312,-0.161307921,0.217322562,-0.957690081,0.12453125,0.030071908
534,0.080643892,0.051810827,0.030377531,0.060059605,175.858297,2.031293166,0.164367435,-0.012976861,0.053172955,0.130482821,0.210617742,-0.083141067,0.123554688,-0.012109566
535,0.078353882,0.148537823,0.038067133,0.15333816,178.6809799,2.822682921,0.171812021,0.095012346,0.046298587,-0.087734873,0.276132813,0.836143271,0.119283854,-0.054506978
536,0.084542274,0.052035835,0.119836799,0.130646801,180.6833917,2.002411791,0.173087101,0.015082158,0.047475651,0.013922781,0.282712567,0.07782797,0.119023438,-0.003080313
537,0.086239815,0.084424597,0.166069123,0.186296716,179.052339,-1.631052718,0.171650612,-0.016656912,0.054909645,0.08620142,0,-3.278213988,0.119739583,0.008304121
538,0.081497431,0.185635388,0.209756428,0.28010401,178.8076193,-0.244719722,0.170747724,-0.011078731,0.037783699,-0.210140939,0.297212092,3.646889103,0.116289063,-0.042339014
539,0.078051329,0.030570019,0.224747451,0.226816981,169.7331244,-9.074494914,0.165435136,-0.068065304,0.054690767,0.216614745,0,-3.807905611,0.115091146,-0.015347806
540,0.07908392,0.083014276,0.188274877,0.20576394,180.8580416,11.12491729,0.173135928,0.097374939,0.049821985,-0.061564758,0,0,0.125898438,0.136655994
541,0.080455303,0.125197155,0.12527627,0.177111466,176.5080149,-4.350026722,0.167291621,-0.072640422,0.050675087,0.010603428,0.364690119,4.532828847,0.123138021,-0.034309941
542,0.078995943,0.028058341,0.194142716,0.196159794,176.8779958,0.369980918,0.17262596,0.067526749,0.051714053,0.013152148,0,-4.6165677,0.123294271,0.00197795
543,0.079308987,0.513199621,0.209618002,0.554358691,179.3137032,2.435707386,0.172655992,0.000378661,0.058158095,0.081252359,0.228535932,2.881589361,0.120677083,-0.032999886
544,0.077267647,0.34142387,0.046271656,0.344545099,179.1906666,-0.123036608,0.174412795,0.022736594,0.056335986,-0.02358179,0.268469289,0.516818593,0.12546875,0.062013881
545,0.07807374,0.073261396,0.238458613,0.249458899,175.8478408,-3.342825867,0.164048065,-0.132755641,0.045489523,-0.138925874,0.21598591,-0.67222832,0.123190104,-0.029185816
546,0.077881575,0.327021085,0.296012622,0.441096659,174.8857199,-0.962120837,0.165881682,0.023543656,0.045963581,0.006086906,0.193288928,-0.291429412,0.11984375,-0.042967212
547,0.079688072,0.352802878,0.054008943,0.356912926,181.8937529,7.008032995,0.176514797,0.133434212,0.048551047,0.032469927,0,-2.425569132,0.117330729,-0.031535721
548,0.081383705,0.387370602,0.086441393,0.396898095,175.4037151,-6.490037765,0.168738628,-0.095549458,0.042730064,-0.071525161,0,0,0.124856771,0.092476026
549,0.081246138,0.316110653,0.302379027,0.43744602,175.5845982,0.180883076,0.16664502,-0.025768714,0.054007582,0.13880681,0.348634667,4.2910922,0.126588542,0.021315116
550,0.083499432,0.255790126,0.38803708,0.464759469,178.0424779,2.457879692,0.173614822,0.083471247,0.056902377,0.034668449,0,-4.175293899,0.124075521,-0.030096263
551,0.078787088,0.009166636,0.113060893,0.113431886,180.5730536,2.530575678,0.172417805,-0.015193061,0.044746297,-0.154290262,0,0,0.129544271,0.069411754
552,0.081120729,0.171339553,1.439469455,1.449630834,198.4531159,17.88006228,0.201509591,0.358623331,0.048707229,0.048827617,0.121356536,1.495999067,0.165885417,0.447988401
553,0.078692913,0.067692831,0.24186541,0.251159702,199.2224417,0.769325821,0.210540421,0.114760401,0.050257922,0.019705625,0.269001482,1.876216561,0.161119792,-0.060559774
554,0.08798027,0.096512343,0.350917272,0.3639472,199.0367614,-0.185680325,0.211993338,0.016514121,0.05212725,0.021247132,1.173858145,10.28476792,0.163372396,0.025603515
555,0.090837955,0.149773165,0.201531588,0.251091581,201.0450213,2.008259902,0.215566582,0.039336468,0.048353489,-0.041543882,0.301582504,-9.60254595,0.167148438,0.041568986
556,0.085920334,0.215339394,0.301136588,0.370208454,203.6476724,2.602651126,0.223708873,0.094765591,0.044639892,-0.043221396,0.340300244,0.450623716,0.166080729,-0.012426725
557,0.077677011,0.001748306,0.306287345,0.306292334,202.8274365,-0.820235876,0.217165483,-0.084238441,0.059217922,0.187674956,0.298544442,-0.537556753,0.159479167,-0.084987339
558,0.081040621,0.038439465,0.081669563,0.090263559,200.595575,-2.231861481,0.214174633,-0.036905568,0.057105599,-0.026064987,0.307589719,0.111614119,0.152760417,-0.082905954
559,0.080542803,0.230246307,0.046881694,0.234970754,203.4995187,2.90394361,0.221507209,0.091039489,0.051318344,-0.071853158,0.312577157,0.061922821,0.159778646,0.087136639
560,0.079419374,0.38103073,0.148345906,0.408889869,203.2804576,-0.219061059,0.212974091,-0.107443774,0.050841781,-0.006000594,0.259996171,-0.662067495,0.159947917,0.002131354
561,0.083055735,0.292622821,0.26757096,0.396512716,203.0443724,-0.236085193,0.223583553,0.127739066,0.050509894,-0.003995952,0.373933382,1.371816309,0.165338542,0.064903706
562,0.083536386,0.051889214,0.373773357,0.377357938,201.5134386,-1.530933843,0.213248131,-0.123723593,0.053265243,0.032983818,0.291697722,-0.984429216,0.161796875,-0.042396695
563,0.081240892,0.076784566,0.006684394,0.077074968,203.3374241,1.823985554,0.217995189,0.058431878,0.055374608,0.025964328,0.284993093,-0.082527769,0.157018229,-0.058820696
564,0.080251455,0.187420006,0.015145006,0.188030928,197.4030719,-5.934352189,0.212913824,-0.06331804,0.047267819,-0.101017351,0.317021127,0.399095989,0.157096354,0.000973503
565,0.078489542,0.416154946,0.073996847,0.422682473,202.1766828,4.773610907,0.218186869,0.067181494,0.048536201,0.01615989,0.273846474,-0.550068856,0.161041667,0.050265454
566,0.077410936,0.035381303,0.197977678,0.201114389,201.9761163,-0.20056655,0.212321928,-0.075763729,0.057094156,0.110552267,0.278397346,0.058788489,0.160820313,-0.002859469
567,0.079196215,0.189119997,0.172355735,0.255876675,199.6312279,-2.344888331,0.208323505,-0.050487554,0.047209468,-0.124812635,0.328008593,0.626434568,0.160729167,-0.001150886
568,0.079747438,0.438141837,0.035948458,0.439614104,203.2289735,3.597745578,0.221127413,0.16055573,0.056415421,0.115438856,0.246115961,-1.026899843,0.159804688,-0.011592588
569,0.078868628,0.196386603,0.360696383,0.410694021,205.0291382,1.800164664,0.222055362,0.011765752,0.054472326,-0.024637106,0.306562319,0.76641829,0.165585938,0.073302277
570,0.07971096,0.097144008,0.343851946,0.357310955,207.1521016,2.122963451,0.220582616,-0.018476069,0.058849605,0.054914393,0.332098934,0.320365157,0.163020833,-0.032180069
571,0.07874918,0.308756269,0.089468039,0.321457562,205.8868865,-1.265215166,0.220168866,-0.005254034,0.057163651,-0.021409158,0.327825041,-0.05427222,0.167851563,0.061343231
572,0.080249786,0.085010341,0.124093516,0.150419277,205.4343894,-0.452497093,0.221533984,0.017010865,0.0511827,-0.074529188,0.267880498,-0.746974488,0.164973958,-0.035858091
573,0.080062628,0.081889312,0.104337276,0.132635314,203.3137145,-2.120674849,0.221208642,-0.004063589,0.045474744,-0.071293636,0.285067842,0.214673751,0.164309896,-0.008294288
574,0.079007387,0.003747902,0.153285696,0.153331508,206.4941063,3.180391719,0.222212725,0.012708717,0.054176067,0.110133026,0.30301485,0.227156073,0.155364583,-0.113221217
575,0.080506086,0.454098163,0.181393431,0.488987442,208.1833372,1.689230982,0.228308039,0.075712459,0.057406801,0.040130308,0.259393832,-0.541835041,0.161940104,0.081677313
576,0.079723358,0.000992958,0.106408125,0.106412758,204.7564937,-3.426843511,0.219918477,-0.105233418,0.051693781,-0.071660545,0.280021183,0.258736612,0.159934896,-0.025152081
577,0.080784798,0.451209329,0.034637012,0.452536829,208.781995,4.025501237,0.224720887,0.05944695,0.046480541,-0.064532444,0.251657601,-0.351100487,0.161822917,0.023370992
578,0.081156731,0.455821467,0.017112296,0.456142566,205.701802,-3.080192945,0.227267592,0.031380081,0.048251552,0.021822114,0.293490973,0.515463979,0.160442708,-0.017006702
579,0.085508108,0.495586661,0.017975324,0.495912543,209.1638824,3.462080392,0.22055127,-0.078546021,0.047062093,-0.013910491,0.296469029,0.034827769,0.168867188,0.098522577
580,0.083182812,0.156387863,0.293290318,0.332379865,207.162024,-2.00185844,0.228720126,0.098203657,0.047656655,0.007147661,0.363046469,0.800374958,0.160520833,-0.100337486
581,0.078124523,0.047337888,0.150616343,0.157880202,207.9042188,0.742194801,0.22800231,-0.009188112,0.048929083,0.016287171,0.270408083,-1.185778582,0.163658854,0.040166912
582,0.080022573,0.110352465,0.275199781,0.296500567,205.5956546,-2.308564138,0.220525384,-0.093435205,0.049320256,0.004888289,0.281209257,0.134976597,0.164908854,0.015620592
583,0.080401182,0.388479537,0.026297714,0.389368618,199.6815783,-5.914076304,0.217804472,-0.03384169,0.045963907,-0.041745023,0.330275997,0.610273857,0.164023438,-0.011012483
584,0.079774141,0.168071137,0.278430206,0.325224978,206.8552503,7.173671954,0.226201505,0.105260081,0.057721337,0.147383969,0.319012771,-0.141188928,0.166184896,0.027094724
